age,female,foreign.born,LTHS,high.school,some.college,college,advanced.degree,ln.real.wage
52,0,1,0,1,0,0,0,2.140066147
46,1,1,0,1,0,0,0,NA
31,1,1,0,1,0,0,0,2.499795198
35,0,1,0,1,0,0,0,2.708050251
19,0,0,0,1,0,0,0,2.079441547
50,1,1,1,0,0,0,0,NA
33,0,1,1,0,0,0,0,2.302585125
43,0,1,0,1,0,0,0,NA
39,1,1,0,1,0,0,0,3.02965045
22,0,0,0,0,1,0,0,2.397895336
28,0,0,0,0,0,1,0,NA
31,1,1,0,0,0,1,0,3.501042843
30,1,1,0,0,0,1,0,3.501042843
20,1,0,0,0,1,0,0,2.11021328
63,0,1,0,1,0,0,0,2.818398237
26,0,0,0,0,1,0,0,2.444518566
23,0,0,0,0,1,0,0,2.820783615
20,0,1,0,1,0,0,0,NA
55,0,1,0,1,0,0,0,3.793014288
46,1,1,1,0,0,0,0,2.639057398
39,0,1,0,1,0,0,0,NA
38,1,1,0,1,0,0,0,2.484906673
41,1,1,0,0,1,0,0,3.238678455
21,1,0,0,0,1,0,0,2.11021328
23,0,1,0,0,1,0,0,NA
30,1,0,0,0,1,0,0,2.708050251
41,1,0,0,0,1,0,0,2.564949274
19,0,0,0,1,0,0,0,2.197224617
39,0,0,0,0,0,1,0,3.179646254
40,1,0,0,0,0,0,1,3.361971378
19,1,0,0,1,0,0,0,2.11021328
23,1,1,0,0,1,0,0,2.397895336
51,1,1,1,0,0,0,0,2.639057398
49,0,1,0,0,0,1,0,3.637586117
47,1,0,0,1,0,0,0,2.944438934
24,0,0,0,1,0,0,0,2.639057398
47,1,1,0,1,0,0,0,2.014903069
19,1,0,0,1,0,0,0,1.981001496
42,0,1,0,0,0,0,1,4.388008595
31,0,1,0,1,0,0,0,NA
49,1,1,0,0,1,0,0,NA
21,1,0,0,0,1,0,0,2.409644127
45,1,1,1,0,0,0,0,2.397895336
23,0,1,1,0,0,0,0,2.302585125
25,0,1,1,0,0,0,0,2.708050251
36,1,0,0,1,0,0,0,2.708050251
44,0,0,0,0,0,0,1,NA
39,1,1,1,0,0,0,0,2.639057398
38,0,1,1,0,0,0,0,3.069447279
33,0,1,0,1,0,0,0,2.530517101
33,1,1,0,1,0,0,0,2.499795198
39,1,0,0,1,0,0,0,2.833213329
36,0,1,0,1,0,0,0,3.069447279
45,1,1,0,1,0,0,0,2.079441547
33,0,1,0,0,1,0,0,2.653241873
38,0,1,0,1,0,0,0,2.302585125
46,0,1,0,1,0,0,0,NA
36,0,0,0,1,0,0,0,2.708050251
39,1,1,0,1,0,0,0,2.302585125
47,0,1,0,1,0,0,0,NA
28,0,0,0,1,0,0,0,3.569532633
51,0,0,0,0,1,0,0,2.981633425
53,0,0,1,0,0,0,0,3.091042519
48,0,1,0,1,0,0,0,2.564949274
33,0,0,0,0,0,0,1,3.872799873
32,1,1,0,1,0,0,0,2.197224617
31,0,1,1,0,0,0,0,2.956510544
31,0,1,0,1,0,0,0,2.714694738
34,0,1,1,0,0,0,0,2.484906673
54,0,1,1,0,0,0,0,2.351375341
34,0,1,0,1,0,0,0,2.420368195
27,1,1,1,0,0,0,0,2.079441547
61,0,1,1,0,0,0,0,2.351375341
61,1,1,0,1,0,0,0,2.224623442
30,1,0,0,0,1,0,0,2.890371799
41,0,1,1,0,0,0,0,2.079441547
43,1,1,1,0,0,0,0,2.169053793
22,0,1,0,0,0,1,0,2.484906673
31,1,0,0,1,0,0,0,2.463853359
29,0,0,0,0,1,0,0,2.302585125
39,0,1,1,0,0,0,0,2.77258873
44,1,1,0,1,0,0,0,2.995732307
39,0,1,0,1,0,0,0,2.708050251
43,0,1,0,1,0,0,0,2.302585125
70,0,1,1,0,0,0,0,2.63547945
52,0,0,0,0,0,1,0,3.516124487
50,1,1,0,1,0,0,0,2.263350248
21,1,0,0,0,1,0,0,2.251291752
18,1,0,1,0,0,0,0,2.11021328
41,0,1,0,0,0,0,1,3.872799873
42,0,1,1,0,0,0,0,2.563467503
42,0,0,0,0,0,1,0,3.544292927
41,0,1,0,0,0,0,1,3.649358749
42,0,0,0,1,0,0,0,NA
42,1,0,0,0,1,0,0,2.079441547
41,0,0,0,0,0,1,0,3.821507215
46,1,0,0,0,0,1,0,2.981202126
48,0,0,0,0,1,0,0,2.803360462
29,0,0,0,0,1,0,0,2.833213329
42,1,1,0,1,0,0,0,2.351375341
20,1,0,0,0,1,0,0,2.353357315
45,1,0,0,0,1,0,0,2.995732307
51,0,0,0,1,0,0,0,3.555348158
32,0,1,1,0,0,0,0,1.945910096
39,0,0,0,0,1,0,0,2.793983221
54,1,0,0,1,0,0,0,2.956510544
34,0,1,0,1,0,0,0,NA
28,1,1,0,1,0,0,0,2.11021328
36,1,1,1,0,0,0,0,1.686398983
43,0,1,0,0,0,1,0,2.822865963
