,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,DEP_TIME,ARR_TIME,ARR_DELAY,CANCELLATION_CODE,AIR_TIME,DISTANCE,Unnamed: 13
403296,2020-01-20,G4,231NV,SFB,"Sanford, FL",AVL,"Asheville, NC",2011.0,2137.0,6.0,,64.0,465.0,
126199,2020-01-06,MQ,N687JS,ORD,"Chicago, IL",MSN,"Madison, WI",1837.0,1927.0,-16.0,,26.0,109.0,
417268,2020-01-20,YV,N516LR,IAD,"Washington, DC",DTW,"Detroit, MI",1738.0,1915.0,14.0,,60.0,383.0,
67589,2020-01-04,OO,N804SK,SAV,"Savannah, GA",DTW,"Detroit, MI",653.0,844.0,-26.0,,91.0,705.0,
102760,2020-01-05,WN,N789SW,SAN,"San Diego, CA",TUS,"Tucson, AZ",732.0,941.0,-19.0,,53.0,368.0,
571736,2020-01-27,WN,N915WN,MDW,"Chicago, IL",PHL,"Philadelphia, PA",703.0,1001.0,-9.0,,93.0,668.0,
527038,2020-01-25,DL,N377NW,MSP,"Minneapolis, MN",BOI,"Boise, ID",1757.0,1952.0,-17.0,,156.0,1142.0,
413187,2020-01-20,OO,N768SK,ORD,"Chicago, IL",DAY,"Dayton, OH",1628.0,1835.0,-13.0,,45.0,240.0,
483236,2020-01-23,DL,N774DE,JFK,"New York, NY",SJC,"San Jose, CA",825.0,1147.0,-50.0,,332.0,2569.0,
236624,2020-01-12,CP,N625CZ,PDX,"Portland, OR",SEA,"Seattle, WA",1136.0,1236.0,16.0,,34.0,129.0,
480306,2020-01-23,AS,N320AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1715.0,1913.0,-27.0,,88.0,679.0,
528853,2020-01-25,YX,N132HQ,EYW,"Key West, FL",CLT,"Charlotte, NC",1007.0,1231.0,1.0,,114.0,736.0,
483956,2020-01-23,DL,N989AT,JAN,"Jackson/Vicksburg, MS",ATL,"Atlanta, GA",1259.0,1508.0,-22.0,,50.0,341.0,
489011,2020-01-23,ZW,N426AW,SAV,"Savannah, GA",ORD,"Chicago, IL",1004.0,1153.0,-2.0,,119.0,773.0,
192612,2020-01-09,OO,N143SY,EUG,"Eugene, OR",ORD,"Chicago, IL",2244.0,424.0,-45.0,,205.0,1780.0,
497994,2020-01-24,DL,N807DN,BOS,"Boston, MA",DTW,"Detroit, MI",538.0,735.0,-31.0,,99.0,632.0,
334702,2020-01-16,AA,N655AW,IAH,"Houston, TX",CLT,"Charlotte, NC",1743.0,2058.0,-17.0,,115.0,912.0,
383045,2020-01-19,MQ,N265NN,MSP,"Minneapolis, MN",ORD,"Chicago, IL",1547.0,1728.0,-3.0,,60.0,334.0,
